|chapter|sec|no|content|lang
162|4|1|1|我所親愛、所想念的弟兄們，你們就是我的喜樂，我的冠冕。我親愛的弟兄，你們應當靠主站立得穩。|zh
163|4|1|1|So my brothers, well loved and very dear to me, my joy and crown, be strong in the Lord, my loved ones.|en
164|4|2|2|我勸友阿爹和循都基，要在主裡同心。|zh
165|4|2|2|I make request to Euodias and Syntyche to be of the same mind in the Lord.|en
166|4|3|3|我也求你這真實同負一軛的，幫助這兩個女人，因為他們在福音上曾與我一同勞苦；還有革利免，並其餘和我一同做工的，他們的名字都在生命冊上。|zh
167|4|3|3|And I make request to you, true helper in my work, to see to the needs of those women who took part with me in the good news, with Clement and the rest of my brother-workers whose names are in the book of life.|en
168|4|4|4|你們要靠主常常喜樂。我再說，你們要喜樂。|zh
169|4|4|4|Be glad in the Lord at all times: again I say, Be glad.|en
170|4|5|5|當叫眾人知道你們謙讓的心。主已經近了。|zh
171|4|5|5|Let your gentle behaviour be clear to all men. The Lord is near.|en
172|4|6|6|應當一無罣慮，只要凡事藉著禱告、祈求，和感謝，將你們所要的告訴神。|zh
173|4|6|6|Have no cares; but in everything with prayer and praise put your requests before God.|en
174|4|7|7|神所賜、出人意外的平安必在基督耶穌裡保守你們的心懷意念。|zh
175|4|7|7|And the peace of God, which is deeper than all knowledge, will keep your hearts and minds in Christ Jesus.|en
176|4|8|8|弟兄們，我還有未盡的話：凡是真實的、可敬的、公義的、清潔的、可愛的、有美名的，若有甚麼德行，若有甚麼稱讚，這些事你們都要思念。|zh
177|4|8|8|For the rest, my brothers, whatever things are true, whatever things have honour, whatever things are upright, whatever things are holy, whatever things are beautiful, whatever things are of value, if there is any virtue and if there is any praise, give thought to these things.|en
178|4|9|9|你們在我身上所學習的，所領受的，所聽見的，所看見的，這些事你們都要去行，賜平安的神就必與你們同在。|zh
179|4|9|9|The things which came to you by my teaching and preaching, and which you saw in me, these things do, and the God of peace will be with you.|en
180|4|10|10|我靠主大大的喜樂，因為你們思念我的心如今又發生；你們向來就思念我，只是沒得機會。|zh
181|4|10|10|But I am very glad in the Lord that your care for me has come to life again; though you did in fact take thought for me, but you were not able to give effect to it.|en
182|4|11|11|我並不是因缺乏說這話；我無論在甚麼景況都可以知足，這是我已經學會了。|zh
183|4|11|11|But I will not say anything about my needs, for I am able, wherever I am, to be dependent on myself.|en
184|4|12|12|我知道怎樣處卑賤，也知道怎樣處豐富；或飽足，或飢餓；或有餘，或缺乏，隨事隨在，我都得了祕訣。|zh
185|4|12|12|It is the same to me if I am looked down on or honoured; everywhere and in all things I have the secret of how to be full and how to go without food; how to have wealth and how to be in need.|en
186|4|13|13|我靠著那加給我力量的，凡事都能做。|zh
187|4|13|13|I am able to do all things through him who gives me strength.|en
188|4|14|14|然而，你們和我同受患難原是美事。|zh
189|4|14|14|But you did well to have care for me in my need.|en
190|4|15|15|腓立比人哪，你們也知道我初傳福音離了馬其頓的時候，論到授受的事，除了你們以外，並沒有別的教會供給我。|zh
191|4|15|15|And you have knowledge, Philippians, that when the good news first came to you, when I went away from Macedonia, no church took part with me in the business of giving to the saints, but you only;|en
192|4|16|16|就是我在帖撒羅尼迦，你們也一次兩次的打發人供給我的需用。|zh
193|4|16|16|Because even in Thessalonica you sent once and again to me in my need.|en
194|4|17|17|我並不求甚麼餽送，所求的就是你們的果子漸漸增多，歸在你們的賬上。|zh
195|4|17|17|Not that I am looking for an offering, but for fruit which may be put to your credit.|en
196|4|18|18|但我樣樣都有，並且有餘。我已經充足，因我從以巴弗提受了你們的餽送，當作極美的香氣，為神所收納、所喜悅的祭物。|zh
197|4|18|18|I have all things and more than enough: I am made full, having had from Epaphroditus the things which came from you, a perfume of a sweet smell, an offering well pleasing to God.|en
198|4|19|19|我的神必照他榮耀的豐富，在基督耶穌裡，使你們一切所需用的都充足。|zh
199|4|19|19|And my God will give you all you have need of from the wealth of his glory in Christ Jesus.|en
200|4|20|20|願榮耀歸給我們的父神，直到永永遠遠。阿們！|zh
201|4|20|20|Now to God our Father be glory for ever and ever. So be it.|en
202|4|21|21|請問在基督耶穌裡的各位聖徒安。在我這裡的眾弟兄都問你們安。|zh
203|4|21|21|Give words of love to every saint in Christ Jesus. The brothers who are with me send you their love.|en
204|4|22|22|眾聖徒都問你們安。在該撒家裡的人特特的問你們安。|zh
205|4|22|22|All the saints send their love to you, specially those who are of Caesar's house.|en
206|4|23|23|願主耶穌基督的恩常在你們心裡！|zh
207|4|23|23|The grace of the Lord Jesus Christ be with your spirit.|en
