,Unnamed: 0,idx,abb,abb_cn,book,book_cn,chapter,sec,no1,no,chinese,english
72,72,1,Gen,創,Genesis,創世記,3,17,17,17,又對亞當說：你既聽從妻子的話，吃了我所吩咐你不可吃的那樹上的果子，地必為你的緣故受咒詛；你必終身勞苦才能從地裡得吃的。,"And to Adam he said, Because you gave ear to the voice of your wife and took of the fruit of the tree which I said you were not to take, the earth is cursed on your account; in pain you will get your food from it all your life."
73,73,1,Gen,創,Genesis,創世記,3,18,18,18,地必給你長出荊棘和蒺藜來；你也要吃田間的菜蔬。,"Thorns and waste plants will come up, and the plants of the field will be your food;"
74,74,1,Gen,創,Genesis,創世記,3,19,19,19,你必汗流滿面才得糊口，直到你歸了土，因為你是從土而出的。你本是塵土，仍要歸於塵土。,With the hard work of your hands you will get your bread till you go back to the earth from which you were taken: for dust you are and to the dust you will go back.
75,75,1,Gen,創,Genesis,創世記,3,20,20,20,亞當給他妻子起名叫夏娃，因為他是眾生之母。,And the man gave his wife the name of Eve because she was the mother of all who have life.
76,76,1,Gen,創,Genesis,創世記,3,21,21,21,耶和華神為亞當和他妻子用皮子作衣服給他們穿。,And the Lord God made for Adam and for his wife coats of skins for their clothing.
77,77,1,Gen,創,Genesis,創世記,3,22,22,22,耶和華神說：那人已經與我們相似，能知道善惡；現在恐怕他伸手又摘生命樹的果子吃，就永遠活著。,"And the Lord God said, Now the man has become like one of us, having knowledge of good and evil; and now if he puts out his hand and takes of the fruit of the tree of life, he will go on living for ever."
78,78,1,Gen,創,Genesis,創世記,3,23,23,23,耶和華神便打發他出伊甸園去，耕種他所自出之土。,So the Lord God sent him out of the garden of Eden to be a worker on the earth from which he was taken.
79,79,1,Gen,創,Genesis,創世記,3,24,24,24,於是把他趕出去了；又在伊甸園的東邊安設基路伯和四面轉動發火燄的劍，要把守生命樹的道路。,So he sent the man out; and at the east of the garden of Eden he put winged ones and a flaming sword turning every way to keep the way to the tree of life.
80,80,1,Gen,創,Genesis,創世記,4,1,1,1,有一日，那人和他妻子夏娃同房，夏娃就懷孕，生了該隱(就是得的意思)，便說：耶和華使我得了一個男子。,"And the man had connection with Eve his wife, and she became with child and gave birth to Cain, and said, I have got a man from the Lord."
81,81,1,Gen,創,Genesis,創世記,4,2,2,2,又生了該隱的兄弟亞伯。亞伯是牧羊的；該隱是種地的。,"Then again she became with child and gave birth to Abel, his brother. And Abel was a keeper of sheep, but Cain was a farmer."
82,82,1,Gen,創,Genesis,創世記,4,3,3,3,有一日，該隱拿地裡的出產為供物獻給耶和華,"And after a time, Cain gave to the Lord an offering of the fruits of the earth."
83,83,1,Gen,創,Genesis,創世記,4,4,4,4,亞伯也將他羊群中頭生的和羊的脂油獻上。耶和華看中了亞伯和他的供物，,And Abel gave an offering of the young lambs of his flock and of their fat. And the Lord was pleased with Abel's offering;
84,84,1,Gen,創,Genesis,創世記,4,5,5,5,只是看不中該隱和他的供物。該隱就大大的發怒，變了臉色。,But in Cain and his offering he had no pleasure. And Cain was angry and his face became sad.
85,85,1,Gen,創,Genesis,創世記,4,6,6,6,耶和華對該隱說：你為甚麼發怒呢？你為甚麼變了臉色呢？,"And the Lord said to Cain, Why are you angry? and why is your face sad?"
86,86,1,Gen,創,Genesis,創世記,4,7,7,7,你若行得好，豈不蒙悅納？你若行得不好，罪就伏在門前。他必戀慕你，你卻要制伏他。,"If you do well, will you not have honour? and if you do wrong, sin is waiting at the door, desiring to have you, but do not let it be your master."
87,87,1,Gen,創,Genesis,創世記,4,8,8,8,該隱與他兄弟亞伯說話；二人正在田間。該隱起來打他兄弟亞伯，把他殺了。,"And Cain said to his brother, Let us go into the field: and when they were in the field, Cain made an attack on his brother Abel and put him to death."
88,88,1,Gen,創,Genesis,創世記,4,9,9,9,耶和華對該隱說：你兄弟亞伯在那裡？他說：我不知道！我豈是看守我兄弟的麼？,"And the Lord said to Cain, Where is your brother Abel? And he said, I have no idea: am I my brother's keeper?"
89,89,1,Gen,創,Genesis,創世記,4,10,10,10,耶和華說：你作了甚麼事呢？你兄弟的血有聲音從地裡向我哀告。,"And he said, What have you done? the voice of your brother's blood is crying to me from the earth."
90,90,1,Gen,創,Genesis,創世記,4,11,11,11,地開了口，從你手裡接受你兄弟的血。現在你必從這地受咒詛。,"And now you are cursed from the earth, whose mouth is open to take your brother's blood from your hand;"
91,91,1,Gen,創,Genesis,創世記,4,12,12,12,你種地，地不再給你效力；你必流離飄蕩在地上。,No longer will the earth give you her fruit as the reward of your work; you will be a wanderer in flight over the earth.
92,92,1,Gen,創,Genesis,創世記,4,13,13,13,該隱對耶和華說：我的刑罰太重，過於我所能當的。,"And Cain said, My punishment is greater than my strength."
93,93,1,Gen,創,Genesis,創世記,4,14,14,14,你如今趕逐我離開這地，以致不見你面；我必流離飄蕩在地上，凡遇見我的必殺我。,"You have sent me out this day from the face of the earth and from before your face; I will be a wanderer in flight over the earth, and whoever sees me will put me to death."
94,94,1,Gen,創,Genesis,創世記,4,15,15,15,耶和華對他說：凡殺該隱的，必遭報七倍。耶和華就給該隱立一個記號，免得人遇見他就殺他。,"And the Lord said, Truly, if Cain is put to death, seven lives will be taken for his. And the Lord put a mark on Cain so that no one might put him to death."
95,95,1,Gen,創,Genesis,創世記,4,16,16,16,於是該隱離開耶和華的面，去住在伊甸東邊挪得之地。,"And Cain went away from before the face of the Lord, and made his living-place in the land of Nod on the east of Eden."
96,96,1,Gen,創,Genesis,創世記,4,17,17,17,該隱與妻子同房，他妻子就懷孕，生了以諾。該隱建造了一座城，就按著他兒子的名將那城叫作以諾。,"And Cain had connection with his wife and she became with child and gave birth to Enoch: and he made a town, and gave the town the name of Enoch after his son."
97,97,1,Gen,創,Genesis,創世記,4,18,18,18,以諾生以拿；以拿生米戶雅利；米戶雅利生瑪土撒利；瑪土撒利生拉麥。,And Enoch had a son Irad: and Irad became the father of Mehujael: and Mehujael became the father of Methushael: and Methushael became the father of Lamech.
98,98,1,Gen,創,Genesis,創世記,4,19,19,19,拉麥娶了兩個妻：一個名叫亞大，一個名叫洗拉。,"And Lamech had two wives; the name of the one was Adah, and the name of the other Zillah."
99,99,1,Gen,創,Genesis,創世記,4,20,20,20,亞大生雅八；雅八就是住帳棚、牧養牲畜之人的祖師。,And Adah gave birth to Jabal: he was the father of such as are living in tents and keep cattle.
100,100,1,Gen,創,Genesis,創世記,4,21,21,21,雅八的兄弟名叫猶八；他是一切彈琴吹簫之人的祖師。,And his brother's name was Jubal: he was the father of all players on instruments of music.
101,101,1,Gen,創,Genesis,創世記,4,22,22,22,洗拉又生了土八該隱；他是打造各樣銅鐵利器的(或作：是銅匠鐵匠的祖師)。土八該隱的妹子是拿瑪。,"And Zillah gave birth to Tubal-cain, who is the father of every maker of cutting instruments of brass and iron: and the sister of Tubal-cain was Naamah."
102,102,1,Gen,創,Genesis,創世記,4,23,23,23,拉麥對他兩個妻子說：亞大、洗拉，聽我的聲音；拉麥的妻子，細聽我的話語：壯年人傷我，我把他殺了；少年人損我，我把他害了(或作我殺壯士卻傷自己，我害幼童卻損本身。),"And Lamech said to his wives, Adah and Zillah, give ear to my voice; you wives of Lamech, give attention to my words, for I would put a man to death for a wound, and a young man for a blow;"
103,103,1,Gen,創,Genesis,創世記,4,24,24,24,若殺該隱，遭報七倍，殺拉麥，必遭報七十七倍。,"If seven lives are to be taken as punishment for Cain's death, seventy-seven will be taken for Lamech's."
104,104,1,Gen,創,Genesis,創世記,4,25,25,25,亞當又與妻子同房，他就生了一個兒子，起名叫塞特，意思說：神另給我立了一個兒子代替亞伯，因為該隱殺了他。,"And Adam had connection with his wife again, and she gave birth to a son to whom she gave the name of Seth: for she said, God has given me another seed in place of Abel, whom Cain put to death."
105,105,1,Gen,創,Genesis,創世記,4,26,26,26,塞特也生了一個兒子，起名叫以挪士。那時候，人才求告耶和華的名。,"And Seth had a son, and he gave him the name of Enosh: at this time men first made use of the name of the Lord in worship."
106,106,1,Gen,創,Genesis,創世記,5,1,1,1,亞當的後代記在下面。〈當神造人的日子，是照著自己的樣式造的，,"This is the book of the generations of Adam. In the day when God made man, he made him in the image of God;"
107,107,1,Gen,創,Genesis,創世記,5,2,2,2,並且造男造女。在他們被造的日子，神賜福給他們，稱他們為人。〉,"Male and female he made them, naming them Man, and giving them his blessing on the day when they were made."
108,108,1,Gen,創,Genesis,創世記,5,3,3,3,亞當活到一百三十歲，生了一個兒子，形像樣式和自己相似，就給他起名叫塞特。,"Adam had been living for a hundred and thirty years when he had a son like himself, after his image, and gave him the name of Seth:"
109,109,1,Gen,創,Genesis,創世記,5,4,4,4,亞當生塞特之後，又在世八百年，並且生兒養女。,"And after the birth of Seth, Adam went on living for eight hundred years, and had sons and daughters:"
110,110,1,Gen,創,Genesis,創世記,5,5,5,5,亞當共活了九百三十歲就死了。,And all the years of Adam's life were nine hundred and thirty: and he came to his end.
111,111,1,Gen,創,Genesis,創世記,5,6,6,6,塞特活到一百零五歲，生了以挪士。,And Seth was a hundred and five years old when he became the father of Enosh:
112,112,1,Gen,創,Genesis,創世記,5,7,7,7,塞特生以挪士之後，又活了八百零七年，並且生兒養女。,"And he went on living after the birth of Enosh for eight hundred and seven years, and had sons and daughters:"
113,113,1,Gen,創,Genesis,創世記,5,8,8,8,塞特共活了九百一十二歲就死了。,And all the years of Seth's life were nine hundred and twelve: and he came to his end.
114,114,1,Gen,創,Genesis,創世記,5,9,9,9,以挪士活到九十歲，生了該南。,And Enosh was ninety years old when he became the father of Kenan:
115,115,1,Gen,創,Genesis,創世記,5,10,10,10,以挪士生該南之後，又活了八百一十五年，並且生兒養女。,"And after the birth of Kenan, Enosh went on living for eight hundred and fifteen years, and had sons and daughters:"
116,116,1,Gen,創,Genesis,創世記,5,11,11,11,以挪士共活了九百零五歲就死了。,And all the years of Enosh were nine hundred and five: and he came to his end.
117,117,1,Gen,創,Genesis,創世記,5,12,12,12,該南活到七十歲，生了瑪勒列。,And Kenan was seventy years old when he became the father of Mahalalel:
118,118,1,Gen,創,Genesis,創世記,5,13,13,13,該南生瑪勒列之後，又活了八百四十年，並且生兒養女。,"And after the birth of Mahalalel, Kenan went on living for eight hundred and forty years, and had sons and daughters:"
119,119,1,Gen,創,Genesis,創世記,5,14,14,14,該南共活了九百一十歲就死了。,And all the years of Kenan's life were nine hundred and ten; and he came to his end.
120,120,1,Gen,創,Genesis,創世記,5,15,15,15,瑪勒列活到六十五歲，生了雅列。,And Mahalalel was sixty-five years old when he became the father of Jared:
121,121,1,Gen,創,Genesis,創世記,5,16,16,16,瑪勒列生雅列之後，又活了八百三十年，並且生兒養女。,"And after the birth of Jared, Mahalalel went on living for eight hundred and thirty years, and had sons and daughters:"
122,122,1,Gen,創,Genesis,創世記,5,17,17,17,瑪勒列共活了八百九十五歲就死了。,And all the years of Mahalalel's life were eight hundred and ninety-five: and he came to his end.
123,123,1,Gen,創,Genesis,創世記,5,18,18,18,雅列活到一百六十二歲，生了以諾。,And Jared was a hundred and sixty-two years old when he became the father of Enoch:
124,124,1,Gen,創,Genesis,創世記,5,19,19,19,雅列生以諾之後，又活了八百年，並且生兒養女。,"And Jared went on living after the birth of Enoch for eight hundred years, and had sons and daughters:"
125,125,1,Gen,創,Genesis,創世記,5,20,20,20,雅列共活了九百六十二歲就死了.。,And all the years of Jared's life were nine hundred and sixty-two: and he came to his end.
126,126,1,Gen,創,Genesis,創世記,5,21,21,21,以諾活到六十五歲，生了瑪土撒拉。,And Enoch was sixty-five years old when he became the father of Methuselah:
127,127,1,Gen,創,Genesis,創世記,5,22,22,22,以諾生瑪土撒拉之後，與神同行三百年，並且生兒養女。,"And after the birth of Methuselah, Enoch went on in God's ways for three hundred years, and had sons and daughters:"
128,128,1,Gen,創,Genesis,創世記,5,23,23,23,以諾共活了三百六十五歲。,And all the years of Enoch's life were three hundred and sixty-five:
129,129,1,Gen,創,Genesis,創世記,5,24,24,24,以諾與神同行，　神將他取去，他就不在世了。,"And Enoch went on in God's ways: and he was not seen again, for God took him."
130,130,1,Gen,創,Genesis,創世記,5,25,25,25,瑪土撒拉活到一百八十七歲，生了拉麥。,And Methuselah was a hundred and eighty-seven years old when he became the father of Lamech:
